name,cntry,dweight,pspwght,pweight,anweight,trstprl,trstlgl
ESS11e03,AT,0.6670056,0.41888565,0.33091453,0.13861534,8,8
ESS11e03,AT,0.47378042,0.7914647,0.33091453,0.26190716,4,3
ESS11e03,AT,0.44314238,0.14044122,0.33091453,0.04647404,0,5
ESS11e03,AT,0.8841214,0.449287,0.33091453,0.14867559,5,7
ESS11e03,AT,0.8656501,0.4881518,0.33091453,0.16153651,5,9
ESS11e03,AT,1.483479,0.8906102,0.33091453,0.29471585,1,4
ESS11e03,AT,0.83893704,0.27812514,0.33091453,0.09203565,8,7
ESS11e03,AT,0.43672693,0.16477834,0.33091453,0.054527547,6,8
ESS11e03,AT,1.745898,0.6587323,0.33091453,0.21798408,6,10
ESS11e03,AT,0.76981914,0.49984038,0.33091453,0.16540444,2,5
ESS11e03,AT,0.45469967,0.1441038,0.33091453,0.04768604,4,8
ESS11e03,AT,1.159529,0.3844085,0.33091453,0.12720636,5,88
ESS11e03,AT,0.55606145,0.31357026,0.33091453,0.10376495,7,8
ESS11e03,AT,1.2988544,4.0006237,0.33091453,1.3238645,8,10
ESS11e03,AT,1.163636,1.9438905,0.33091453,0.6432616,10,7
ESS11e03,AT,2.1640618,2.5703535,0.33091453,0.85056734,5,7
ESS11e03,AT,0.4666434,0.2487804,0.33091453,0.08232505,4,4
ESS11e03,AT,0.4512756,0.25447997,0.33091453,0.08421112,8,10
ESS11e03,AT,0.6098981,0.23011617,0.33091453,0.076148786,4,8
ESS11e03,AT,0.42728814,0.5075082,0.33091453,0.16794184,3,2
ESS11e03,AT,0.93086755,0.9400978,0.33091453,0.31109202,10,10
ESS11e03,AT,0.94756097,3.333433,0.33091453,1.1030813,5,5
ESS11e03,AT,0.47378042,0.69543046,0.33091453,0.23012803,6,6
ESS11e03,AT,0.6989865,0.531549,0.33091453,0.17589729,1,2
ESS11e03,AT,1.0736351,0.6445597,0.33091453,0.21329416,8,9
ESS11e03,AT,0.69250387,0.43489853,0.33091453,0.14391424,5,6
ESS11e03,AT,1.4462273,0.73493546,0.33091453,0.24320082,6,8
ESS11e03,AT,1.159529,0.6181773,0.33091453,0.20456384,3,5
ESS11e03,AT,0.9408682,0.37770194,0.33091453,0.12498706,3,5
ESS11e03,AT,1.0159594,1.5736283,0.33091453,0.52073646,10,10
ESS11e03,AT,1.5597948,4.000623,0.33091453,1.3238643,8,8
ESS11e03,AT,0.96589863,1.6135659,0.33091453,0.5339524,5,8
ESS11e03,AT,0.6670056,0.40043828,0.33091453,0.13251084,5,5
ESS11e03,AT,0.45469967,0.2424131,0.33091453,0.08021802,3,88
ESS11e03,AT,0.44314238,0.3627188,0.33091453,0.12002892,6,8
